DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
TOWRY,a26Qz000000MlRaIAK,Towry,a264J000001QEYkQAO,false,false,false,false,
TPT,a26Qz000000MlRbIAK,TPT,a264J000001QEYlQAO,false,false,false,false,
TRANSACT,a26Qz000000MlRcIAK,Transact,a264J000001QEYmQAO,false,false,true,false,TRANSACT
TRIODOS_BANK,a26Qz000000MlRdIAK,Triodos Bank,a264J000001QEYnQAO,false,false,false,false,
UBS_PENSION_SCHEME_WILLIS_TOWERS_WATSON,a26Qz000000MlReIAK,UBS Pension Scheme (Willis Towers Watson),a264J000001QEYoQAO,false,false,false,false,
UNUM,a26Qz000000MlRfIAK,UNUM,a264J000001QEYpQAO,false,false,false,false,
USS,a26Qz000000MlRgIAK,USS,a264J000001QEYqQAO,false,false,false,false,
UTMOST,a26Qz000000MlRhIAK,Utmost,a264J000001QEYrQAO,false,false,false,false,
VIRGIN_MONEY,a26Qz000000MlRiIAK,Virgin Money,a264J000001QEYsQAO,false,false,false,false,
VITALITY,a26Qz000000MlRjIAK,Vitality,a264J000001QEYtQAO,false,false,false,false,
WEALTHIFY,a26Qz000000MlRkIAK,Wealthify,a264J000001QEYuQAO,false,false,false,false,
WESLEYAN_ASSURANCE_SOCIETY,a26Qz000000MlRlIAK,Wesleyan Assurance Society,a264J000001QEYvQAO,false,false,false,false,
WEST_YORKSHIRE_PENSION_FUND,a26Qz000000MlRmIAK,West Yorkshire Pension Fund,a264J000001QEYwQAO,false,false,false,false,
WILLIS_TOWERS_WATSON,a26Qz000000MlRnIAK,Willis Towers Watson,a264J000001QEYxQAO,false,false,false,false,
WILLIS_TOWERS_WATSON_BARCLAYS_BANK,a26Qz000000MlRoIAK,Willis Towers Watson (Barclays Bank),a264J000001QEYyQAO,false,false,false,false,
WILLIS_TOWERS_WATSON_SOCIETE_GENERALE,a26Qz000000MlRpIAK,Willis Towers Watson (Societe Generale),a264J000001QEYzQAO,false,false,false,false,
WITAN,a26Qz000000MlRqIAK,Witan,a264J000001QEZ0QAO,false,false,false,false,
XPS_PENSIONS_GROUP,a26Qz000000MlRrIAK,XPS Pensions Group,a264J000001QEZ1QAO,false,false,false,false,
YATES_GROUP_JLT_BENEFIT_SOLUTIONS,a26Qz000000MlRsIAK,Yates Group (JLT Benefit Solutions),a264J000001QEZ2QAO,false,false,false,false,
ZURICH,a26Qz000000MlRtIAK,Zurich,a264J000001QEZ3QAO,false,false,false,false,
TOTAL_UK_PENSION_BUCK,a26Qz000000MlRuIAK,Total UK Pension (Buck),a264J000001QFpyQAG,false,false,false,false,
